,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,.. >= 7 years,4,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,male,single
626,>= 200 DM,6,existing credits paid back duly till now,furniture/equipment,2116,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
627,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,male,single
628,no checking account,42,critical account/  other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,.. >= 7 years,1,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,male,single
630,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... <  100 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
631,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... <  100 DM,1  <= ... < 4 years,4,none,3,"car or other, not in attribute 6",44,bank,own,1,skilled employee / official,1,none,yes,male,single
632,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,none,1,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,male,single
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... <  100 DM,... < 1 year,2,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married
634,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... <  100 DM,... < 1 year,3,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
635,no checking account,12,existing credits paid back duly till now,education,1393,... <  100 DM,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4  <= ... < 7 years,4,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
637,no checking account,60,delay in paying off in the past,radio/television,15653,... <  100 DM,4  <= ... < 7 years,2,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,... <  100 DM,... < 1 year,4,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,none,yes,female,divorced/separated/married
639,... < 0 DM,42,delay in paying off in the past,radio/television,4370,... <  100 DM,4  <= ... < 7 years,3,none,2,building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
640,... < 0 DM,18,existing credits paid back duly till now,education,750,... <  100 DM,unemployed,4,none,1,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated/married
641,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1308,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",38,none,own,2,unskilled - resident,1,none,yes,male,single
642,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... <  500 DM,1  <= ... < 4 years,3,none,2,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
643,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,1851,... <  100 DM,4  <= ... < 7 years,4,guarantor,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
644,... < 0 DM,18,critical account/  other credits existing (not at this bank),radio/television,1880,... <  100 DM,4  <= ... < 7 years,4,none,1,building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,married/widowed
645,no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
646,... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... <  100 DM,1  <= ... < 4 years,2,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated
647,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
648,>= 200 DM,24,existing credits paid back duly till now,car (new),947,... <  100 DM,4  <= ... < 7 years,4,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,male,single
649,... < 0 DM,12,existing credits paid back duly till now,education,684,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2,none,yes,male,single
650,... < 0 DM,48,existing credits paid back duly till now,education,7476,... <  100 DM,4  <= ... < 7 years,4,none,1,unknown / no property,50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
651,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,none,yes,male,single
652,... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... <  100 DM,.. >= 7 years,4,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,male,single
653,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... <  500 DM,.. >= 7 years,2,none,4,"car or other, not in attribute 6",42,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
654,no checking account,24,critical account/  other credits existing (not at this bank),car (used),2346,... <  100 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
655,... < 0 DM,14,existing credits paid back duly till now,car (new),3973,... <  100 DM,unemployed,1,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,male,single
656,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2,none,yes,male,single
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",37,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
658,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... <  100 DM,1  <= ... < 4 years,2,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
659,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,6361,... <  100 DM,.. >= 7 years,2,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
660,>= 200 DM,12,existing credits paid back duly till now,radio/television,1297,... <  100 DM,1  <= ... < 4 years,3,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
661,... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... <  100 DM,.. >= 7 years,4,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,male,single
663,0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,... <  100 DM,unemployed,4,none,1,building society savings agreement/ life insurance,35,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
664,>= 200 DM,6,critical account/  other credits existing (not at this bank),education,1047,... <  100 DM,1  <= ... < 4 years,2,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
665,no checking account,24,critical account/  other credits existing (not at this bank),others,6314,... <  100 DM,unemployed,4,co-applicant,2,unknown / no property,27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
666,0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,.. >= 1000 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",34,stores,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
667,no checking account,48,all credits at this bank paid back duly,business,3609,... <  100 DM,1  <= ... < 4 years,1,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
668,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),4843,... <  100 DM,.. >= 7 years,3,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
669,>= 200 DM,30,critical account/  other credits existing (not at this bank),radio/television,3017,... <  100 DM,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,none,yes,male,single
670,no checking account,24,critical account/  other credits existing (not at this bank),business,4139,100 <= ... <  500 DM,1  <= ... < 4 years,3,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single
671,no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
